"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001499999","2024-03-06","59.791925","5.34085","48.76","SORSTOKKEN, NO","  36.4"," 9","  35.0"," 9","9999.9"," 0","999.9"," 0","  6.1"," 9","  4.5"," 9","  8.9","999.9","  37.4","*","  32.0","*","99.99"," ","999.9","010000"
"01001499999","2024-03-07","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.8","12","  35.1","12","9999.9"," 0","999.9"," 0","  6.2","12","  1.7","12","  4.1","999.9","  41.0","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2024-03-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.3","12","  31.9","12","9999.9"," 0","999.9"," 0","  6.2","12","  3.5","12","  7.0","999.9","  48.2","*","  32.0","*"," 0.00","I","999.9","000000"
"01001499999","2024-03-10","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.8"," 9","  17.4"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9","  7.0"," 9","  8.9","999.9","  44.6","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2024-03-11","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.0","10","  27.9","10","9999.9"," 0","999.9"," 0","  6.2","10","  2.5","10","  6.0","999.9","  48.2","*","  35.6","*"," 0.00","I","999.9","000000"
"01001499999","2024-03-12","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.7"," 8","  34.7"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8","  2.8"," 8","  6.0","999.9","  44.6","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2024-03-13","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.6"," 9","  41.8"," 9","9999.9"," 0","999.9"," 0","  5.1"," 9"," 18.8"," 9"," 25.1"," 33.0","  46.4","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2024-03-14","59.791925","5.34085","48.76","SORSTOKKEN, NO","  45.8","12","  43.2","12","9999.9"," 0","999.9"," 0","  6.2","12"," 10.2","12"," 13.0"," 22.9","  50.0","*","  42.8","*"," 0.00","I","999.9","000000"
"01001499999","2024-03-15","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.3","16","  41.2","16","9999.9"," 0","999.9"," 0","  4.3","16","  5.3","16"," 12.0","999.9","  44.6","*","  39.2","*","99.99"," ","999.9","010000"
"01001499999","2024-03-17","59.791925","5.34085","48.76","SORSTOKKEN, NO","  39.8"," 9","  17.6"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9"," 11.0"," 9"," 15.0","999.9","  42.8","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2024-03-18","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.5"," 7","  27.6"," 7","9999.9"," 0","999.9"," 0","  6.2"," 7"," 19.3"," 7"," 21.0"," 28.9","  42.8","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2024-03-19","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.5"," 8","  39.2"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8"," 16.1"," 8"," 19.0"," 28.9","  44.6","*","  42.8","*","99.99"," ","999.9","010000"
"01001499999","2024-03-20","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.3"," 8","  42.1"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8","  2.0"," 8","  4.1","999.9","  42.8","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2024-03-21","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.5","12","  38.5","12","9999.9"," 0","999.9"," 0","  5.8","12"," 14.0","12"," 19.0"," 31.1","  41.0","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2024-03-22","59.791925","5.34085","48.76","SORSTOKKEN, NO","  43.6","13","  39.5","13","9999.9"," 0","999.9"," 0","  6.2","13"," 11.0","13"," 15.0"," 28.0","  46.4","*","  41.0","*","99.99"," ","999.9","010000"
"01001499999","2024-03-24","59.791925","5.34085","48.76","SORSTOKKEN, NO","  46.8"," 9","  37.8"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9","  9.6"," 9"," 13.0","999.9","  50.0","*","  41.0","*"," 0.00","I","999.9","000000"
"01001499999","2024-03-25","59.791925","5.34085","48.76","SORSTOKKEN, NO","  42.3","10","  34.3","10","9999.9"," 0","999.9"," 0","  6.2","10","  4.1","10","  8.9","999.9","  46.4","*","  33.8","*"," 0.00","I","999.9","000000"
"01001499999","2024-03-26","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.1"," 6","  30.5"," 6","9999.9"," 0","999.9"," 0","  6.2"," 6","  6.0"," 6","  7.0","999.9","  39.2","*","  33.8","*"," 0.00","I","999.9","000000"
"01001499999","2024-03-27","59.791925","5.34085","48.76","SORSTOKKEN, NO","  46.4"," 5","  29.1"," 5","9999.9"," 0","999.9"," 0","  6.2"," 5"," 12.0"," 5"," 15.0"," 27.0","  48.2","*","  44.6","*","99.99"," ","999.9","010000"
"01001499999","2024-04-03","59.791925","5.34085","48.76","SORSTOKKEN, NO","  41.7","13","  35.3","13","9999.9"," 0","999.9"," 0","  6.2","13","  7.2","13","  9.9"," 22.0","  44.6","*","  39.2","*"," 0.00","I","999.9","000000"
"01001499999","2024-04-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  33.4","14","  31.5","14","9999.9"," 0","999.9"," 0","  3.8","14","  6.1","14"," 14.0","999.9","  35.6","*","  32.0","*","99.99"," ","999.9","011000"
"01001499999","2024-04-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  36.2","14","  30.7","14","9999.9"," 0","999.9"," 0","  6.2","14","  1.1","14","  5.1","999.9","  42.8","*","  30.2","*","99.99"," ","999.9","010000"
"01001499999","2024-04-07","59.791925","5.34085","48.76","SORSTOKKEN, NO","  47.8"," 9","  45.0"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9"," 17.9"," 9"," 21.0"," 36.9","  50.0","*","  46.4","*","99.99"," ","999.9","010000"
"01001499999","2024-04-08","59.791925","5.34085","48.76","SORSTOKKEN, NO","  49.1","14","  42.5","14","9999.9"," 0","999.9"," 0","  6.2","14"," 12.7","14"," 17.1"," 27.0","  53.6","*","  44.6","*","99.99"," ","999.9","010000"
"01001499999","2024-04-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  52.1","11","  44.6","11","9999.9"," 0","999.9"," 0","  6.2","11"," 10.0","11"," 17.1"," 26.0","  55.4","*","  48.2","*","99.99"," ","999.9","010000"
"01001499999","2024-04-10","59.791925","5.34085","48.76","SORSTOKKEN, NO","  44.6","14","  41.4","14","9999.9"," 0","999.9"," 0","  5.9","14"," 12.9","14"," 20.0"," 29.9","  50.0","*","  39.2","*","99.99"," ","999.9","010000"
